Disease,Patient_Count,Severity_Score,PPEkits,Beds,Doctors,Ventilator,Oxygen Cylinder
Covid,439,1,93,9,5,3,27
Covid,495,4,184,128,20,4,44
Sepsis,192,4,88,156,16,0,92
Pneumonia,163,2,116,42,2,6,12
Severe_Trauma,325,3,39,117,3,0,48
Sepsis,464,1,81,44,6,0,18
Heart_Failure,447,4,260,192,24,0,52
Severe_Trauma,174,2,166,92,2,6,42
Stroke,95,4,240,184,24,4,28
Sepsis,401,1,97,37,6,3,16
Severe_Trauma,285,2,60,56,6,8,10
Heart_Failure,120,3,42,30,12,3,81
Stroke,144,1,56,8,1,1,22
Severe_Trauma,118,2,122,42,10,0,58
Stroke,441,2,112,44,14,2,22
Heart_Failure,98,3,249,33,3,12,81
Sepsis,329,1,31,16,9,4,15
Sepsis,299,4,212,180,4,12,44
Covid,290,2,150,28,8,0,36
Covid,112,2,66,70,2,4,16
Severe_Trauma,224,1,57,18,2,3,19
Sepsis,245,3,84,141,9,3,33
Sepsis,85,3,234,102,21,9,33
Pneumonia,329,3,237,36,15,9,15
Sepsis,459,1,84,24,6,2,22
Stroke,245,3,189,111,6,6,75
Sepsis,97,2,146,26,8,6,44
Severe_Trauma,436,1,15,5,7,0,28
Pneumonia,129,1,67,21,3,1,26
Pneumonia,269,4,200,112,32,12,28
Covid,84,3,159,111,24,12,69
Heart_Failure,317,2,54,68,10,6,24
Sepsis,373,3,111,87,12,9,51
Heart_Failure,327,2,164,42,4,8,48
Stroke,395,1,92,34,1,2,27
Severe_Trauma,265,1,99,15,3,2,9
Pneumonia,413,3,150,144,12,3,33
Severe_Trauma,249,3,150,36,3,6,30
Severe_Trauma,370,1,17,49,7,2,24
Sepsis,167,2,64,30,2,8,34
Covid,181,2,124,34,6,8,20
Pneumonia,100,2,180,28,4,6,52
Stroke,319,4,136,184,20,4,96
Severe_Trauma,243,4,148,92,24,0,84
Sepsis,178,3,162,60,6,12,42
Pneumonia,431,3,201,51,3,9,21
Covid,134,4,124,124,12,4,72
Heart_Failure,288,2,32,80,18,0,24
Covid,148,2,196,70,14,4,20
Stroke,276,3,279,135,3,9,69
Covid,423,1,65,10,1,4,28
Covid,358,2,180,36,2,0,50
Sepsis,312,2,104,62,16,8,28
Severe_Trauma,351,4,368,188,24,4,68
Heart_Failure,92,2,72,38,4,8,24
Severe_Trauma,281,1,72,20,1,1,17
Covid,81,1,20,18,1,3,9
Sepsis,429,1,93,25,7,2,22
Severe_Trauma,240,1,40,18,9,2,18
Heart_Failure,242,4,212,20,8,4,36
Covid,98,3,294,72,24,6,21
Stroke,446,4,108,32,16,4,20
Sepsis,156,2,58,70,6,2,54
Stroke,78,3,57,132,15,3,33
Severe_Trauma,455,2,84,28,2,8,56
Stroke,189,3,63,141,24,3,27
Covid,200,4,396,84,36,0,84
Sepsis,410,4,328,24,20,0,64
Pneumonia,439,1,84,12,8,0,25
Stroke,116,4,324,104,28,16,108
Sepsis,403,4,76,140,4,16,40
Heart_Failure,256,3,297,15,6,0,36
Covid,260,3,180,45,27,0,30
Severe_Trauma,243,1,48,5,4,3,8
Sepsis,458,2,170,96,4,2,50
Severe_Trauma,452,3,141,141,9,0,18
Severe_Trauma,317,1,63,13,5,3,11
Severe_Trauma,187,3,45,84,3,3,36
Sepsis,202,2,68,44,6,0,50
Heart_Failure,58,2,98,36,10,8,26
Sepsis,170,3,171,105,6,9,78
Heart_Failure,78,2,98,68,4,2,42
Pneumonia,192,3,132,36,24,3,18
Pneumonia,433,4,168,196,36,4,72
Severe_Trauma,197,4,112,72,12,12,96
Severe_Trauma,375,4,352,136,28,4,104
Severe_Trauma,431,2,174,86,18,6,34
Heart_Failure,59,2,56,84,14,4,22
Sepsis,282,4,72,172,24,0,52
Sepsis,93,2,44,78,16,4,30
Covid,272,4,332,20,24,4,40
Covid,236,2,112,44,6,4,56
Heart_Failure,84,4,268,60,28,8,116
Sepsis,206,1,96,15,7,2,21
Pneumonia,277,1,59,7,6,0,9
Pneumonia,86,4,180,152,16,8,64
Heart_Failure,240,4,280,124,12,8,72
Pneumonia,304,4,364,152,24,4,64
Heart_Failure,497,3,123,129,6,6,69
Pneumonia,95,4,244,92,24,8,28
Pneumonia,424,1,37,36,9,2,21
Pneumonia,409,4,188,136,32,8,36
Heart_Failure,93,3,288,126,12,12,72
Pneumonia,256,3,48,93,21,0,75
Severe_Trauma,450,3,111,147,6,12,42
Pneumonia,288,2,198,60,14,6,56
Sepsis,291,4,232,32,4,16,76
Sepsis,65,1,19,8,9,0,11
Heart_Failure,167,3,261,27,18,12,45
Sepsis,51,1,36,21,3,3,16
Pneumonia,473,3,60,15,6,6,54
Pneumonia,101,3,60,117,15,9,30
Pneumonia,201,3,138,45,3,3,57
Stroke,473,4,116,24,32,4,32
Sepsis,61,3,45,27,15,9,60
Sepsis,147,1,73,33,9,3,12
Covid,50,3,270,21,6,9,63
Severe_Trauma,228,1,69,38,9,3,16
Severe_Trauma,89,1,60,49,1,1,17
Stroke,301,1,86,25,2,3,7
Heart_Failure,364,4,144,172,4,8,48
Sepsis,338,3,261,90,24,3,15
Pneumonia,428,2,150,18,6,0,12
Sepsis,58,1,76,5,9,2,12
Heart_Failure,337,1,37,42,1,1,23
Severe_Trauma,231,2,32,92,16,6,56
Sepsis,276,2,134,26,16,0,14
Pneumonia,469,2,154,52,4,4,52
Pneumonia,386,2,96,96,8,8,14
Sepsis,170,2,48,82,18,2,10
Severe_Trauma,429,1,18,8,6,4,29
Stroke,96,2,128,92,16,4,34
Heart_Failure,482,2,52,30,6,0,18
Covid,348,1,52,35,6,4,23
Covid,58,4,232,76,32,4,84
Pneumonia,160,1,96,12,1,3,13
Pneumonia,101,4,52,88,24,16,20
Heart_Failure,391,2,70,12,16,4,26
Covid,406,4,264,76,16,0,100
Severe_Trauma,373,1,81,32,6,2,25
Pneumonia,447,1,12,34,9,0,5
Covid,154,4,168,104,12,12,20
Sepsis,107,2,126,18,6,2,44
Covid,296,2,70,92,16,2,52
Stroke,462,4,244,192,8,4,108
Sepsis,145,1,92,28,7,2,22
Pneumonia,383,1,10,37,9,0,20
Covid,371,2,196,20,18,0,46
Covid,298,2,50,92,14,2,14
Heart_Failure,169,1,16,33,6,1,22
Stroke,106,2,74,62,8,2,28
Pneumonia,260,3,204,33,27,9,39
Sepsis,339,4,372,116,4,8,112
Severe_Trauma,486,4,244,128,20,4,24
Heart_Failure,438,3,237,87,18,6,30
Sepsis,269,4,92,184,36,12,44
Sepsis,208,4,156,196,32,8,112
Covid,112,4,180,68,16,12,100
Severe_Trauma,325,3,228,54,12,6,63
Heart_Failure,70,2,68,32,4,2,54
Severe_Trauma,280,2,48,52,4,2,46
Covid,456,1,55,5,4,2,17
Severe_Trauma,140,2,20,22,14,0,48
Covid,389,4,392,20,32,16,116
Severe_Trauma,56,1,15,49,6,2,24
Heart_Failure,473,4,100,44,4,16,96
Stroke,487,4,348,100,4,12,80
Stroke,178,4,312,48,16,8,20
Stroke,134,2,144,62,6,2,32
Covid,203,4,188,180,36,12,24
Sepsis,370,2,120,54,6,6,12
Stroke,468,4,68,100,12,12,72
Pneumonia,402,4,84,28,24,4,80
Sepsis,339,1,20,29,3,0,11
Severe_Trauma,449,2,36,10,16,2,22
Stroke,183,3,54,33,3,3,69
Covid,254,1,46,17,6,2,13
Heart_Failure,417,2,116,74,18,2,30
Sepsis,175,1,67,11,7,3,21
Pneumonia,318,1,79,42,5,4,11
Covid,203,2,44,76,2,6,16
Heart_Failure,307,4,204,60,4,8,88
Sepsis,412,1,27,7,6,0,23
Pneumonia,189,1,77,9,5,0,9
Sepsis,131,4,192,148,4,16,48
Stroke,330,2,172,90,8,8,36
Pneumonia,396,4,372,196,4,4,116
Severe_Trauma,470,1,36,19,9,0,16
Severe_Trauma,238,1,14,30,5,4,27
Severe_Trauma,309,3,114,78,18,9,27
Heart_Failure,261,2,184,10,10,2,34
Severe_Trauma,455,2,40,56,8,8,46
Pneumonia,267,2,56,84,2,0,16
Sepsis,481,4,276,172,4,12,56
Stroke,155,4,276,24,8,12,104
Severe_Trauma,245,2,32,70,2,4,36
Severe_Trauma,199,2,74,20,14,8,16
Heart_Failure,63,2,62,42,16,2,28
Pneumonia,110,4,292,76,20,0,96
Severe_Trauma,242,3,111,99,6,3,45
Stroke,452,4,264,128,36,12,116
Stroke,272,2,48,68,16,8,56
Stroke,453,2,162,92,2,4,22
Heart_Failure,373,4,196,164,32,16,68
Stroke,333,3,195,60,18,0,84
Heart_Failure,150,4,252,84,32,12,80
Stroke,64,3,123,135,15,0,87
Stroke,218,3,78,114,6,3,63
Stroke,344,2,82,74,2,6,42
Sepsis,415,4,48,124,36,16,100
Pneumonia,132,3,240,18,24,12,33
Stroke,492,4,312,128,12,8,76
Sepsis,336,3,270,36,15,3,51
Sepsis,244,4,132,88,36,8,96
Covid,393,3,123,108,6,9,18
Stroke,242,4,316,56,32,12,40
Severe_Trauma,198,4,240,64,20,12,32
Heart_Failure,136,2,142,96,14,4,24
Sepsis,101,3,72,54,12,0,45
Pneumonia,145,4,124,176,24,16,64
Heart_Failure,254,2,174,42,4,4,14
Pneumonia,416,3,72,81,12,9,72
Covid,57,2,66,76,12,4,14
Heart_Failure,418,3,180,120,24,9,27
Covid,350,2,118,96,10,4,22
Pneumonia,157,2,62,58,10,2,12
Severe_Trauma,328,2,62,40,18,8,16
Heart_Failure,408,3,231,102,3,3,72
Heart_Failure,464,2,110,56,8,0,52
Pneumonia,96,1,13,8,9,4,13
Sepsis,346,4,200,172,32,16,44
Severe_Trauma,305,4,140,44,36,0,60
Pneumonia,375,4,164,164,4,12,28
Covid,192,2,118,46,4,6,44
Severe_Trauma,157,2,182,78,14,8,40
Severe_Trauma,384,2,40,16,8,0,48
Sepsis,464,2,46,58,18,2,32
Covid,384,1,28,28,9,2,19
Sepsis,411,1,40,49,3,4,9
Severe_Trauma,481,3,123,90,18,9,21
Severe_Trauma,343,2,146,82,18,2,44
Stroke,119,4,368,60,36,0,28
Stroke,363,2,68,32,18,2,54
Covid,135,2,132,20,12,2,34
Pneumonia,269,2,82,52,18,2,40
Severe_Trauma,478,1,10,19,7,1,17
Sepsis,379,4,312,132,8,12,72
Covid,307,2,158,84,2,6,22
Pneumonia,72,2,66,90,18,8,26
Pneumonia,68,1,49,13,3,2,18
Sepsis,185,4,340,104,12,8,76
Sepsis,164,2,118,42,4,2,44
Severe_Trauma,176,1,84,7,1,3,26
Covid,433,2,60,66,10,8,20
Severe_Trauma,385,4,268,136,8,0,48
Sepsis,398,4,348,104,28,12,76
Heart_Failure,380,2,76,12,14,4,52
Sepsis,97,3,135,48,12,6,84
Stroke,151,1,59,47,7,1,13
Pneumonia,234,1,20,39,5,3,29
Pneumonia,467,2,94,70,16,8,26
Severe_Trauma,466,2,116,76,18,4,48
Heart_Failure,441,1,77,11,7,2,16
Severe_Trauma,383,1,22,19,5,2,23
Sepsis,70,1,46,21,5,2,19
Pneumonia,398,4,300,140,16,16,44
Pneumonia,397,3,282,144,24,6,66
Sepsis,481,3,42,54,27,6,39
Severe_Trauma,446,4,364,84,4,12,64
Sepsis,164,1,65,8,3,0,15
Covid,490,4,244,180,8,4,104
Heart_Failure,294,3,132,96,6,6,54
Stroke,97,1,14,23,3,3,17
Stroke,126,3,294,84,9,0,87
Severe_Trauma,272,1,71,48,6,2,14
Heart_Failure,154,2,36,72,6,2,14
Pneumonia,163,2,154,84,2,0,32
Sepsis,489,4,80,44,28,8,36
Stroke,461,3,81,126,12,9,36
Covid,293,3,171,24,18,6,69
Covid,445,3,90,123,12,9,21
Pneumonia,216,1,73,41,1,4,28
Stroke,412,2,172,92,16,0,22
Stroke,415,2,128,86,16,6,18
Pneumonia,207,4,268,112,28,4,64
Heart_Failure,214,1,95,32,5,2,25
Severe_Trauma,277,4,180,176,20,12,36
Stroke,247,2,64,52,16,0,46
Severe_Trauma,427,4,140,192,8,4,104
Heart_Failure,53,4,316,172,28,12,108
Sepsis,472,4,92,80,16,16,72
Severe_Trauma,144,3,63,84,6,9,87
Severe_Trauma,357,1,48,43,4,2,21
Sepsis,55,2,42,96,6,4,48
Severe_Trauma,413,1,96,44,6,4,7
Severe_Trauma,319,4,320,128,4,16,72
Sepsis,311,2,82,94,8,8,32
Pneumonia,481,1,99,35,8,3,13
Pneumonia,391,2,24,12,6,4,38
Heart_Failure,265,3,153,93,12,0,42
Severe_Trauma,104,1,87,42,8,0,25
Severe_Trauma,493,4,124,160,8,16,112
Severe_Trauma,387,3,285,144,3,6,33
Sepsis,452,3,288,78,9,12,60
Heart_Failure,186,1,13,38,7,0,29
Heart_Failure,415,2,96,50,2,4,18
Pneumonia,416,1,58,23,9,4,19
Stroke,313,4,364,168,32,16,72
Sepsis,259,1,66,23,2,4,10
Heart_Failure,318,3,63,72,12,12,42
Sepsis,107,1,41,39,3,3,9
Covid,195,2,50,72,18,8,34
Heart_Failure,236,3,126,39,21,12,51
Covid,259,3,153,144,12,6,81
Heart_Failure,330,4,64,104,28,8,96
Covid,206,2,22,70,8,0,28
Sepsis,134,3,54,21,24,6,18
Severe_Trauma,181,3,231,57,21,3,21
Stroke,282,2,38,76,14,8,40
Pneumonia,286,3,237,54,21,3,30
Covid,171,4,148,116,32,0,32
Pneumonia,233,1,10,43,3,3,20
Heart_Failure,464,1,91,42,2,3,22
Stroke,105,2,32,96,2,0,58
Covid,389,1,85,44,2,1,21
Pneumonia,265,3,156,81,6,9,30
Severe_Trauma,498,4,380,48,24,12,40
Covid,71,2,70,96,10,0,12
Severe_Trauma,82,4,172,192,36,16,108
Stroke,391,2,110,46,18,2,50
Covid,344,2,182,12,6,0,10
Pneumonia,108,3,258,63,9,3,63
Sepsis,248,1,78,10,4,3,7
Covid,344,2,152,86,6,8,38
Sepsis,417,3,84,36,24,3,51
Sepsis,410,3,294,81,6,3,75
Covid,261,1,44,28,7,2,23
Pneumonia,363,4,164,56,28,0,32
Pneumonia,289,1,98,20,9,2,16
Severe_Trauma,458,3,261,48,9,3,87
Stroke,166,2,102,10,16,6,20
Severe_Trauma,418,1,80,27,4,3,20
Pneumonia,126,2,134,20,16,0,18
Pneumonia,315,2,106,92,10,4,12
Heart_Failure,404,1,40,15,6,1,15
Covid,456,4,140,112,28,0,76
Pneumonia,155,3,273,63,3,9,33
Sepsis,273,4,204,100,20,4,40
Stroke,464,1,70,22,7,2,8
Sepsis,170,1,35,9,2,4,10
Pneumonia,321,3,72,129,21,9,33
Stroke,467,1,77,13,8,3,5
Stroke,481,3,189,30,15,12,63
Covid,332,1,71,47,8,4,17
Covid,78,2,152,48,12,6,56
Pneumonia,82,1,15,29,6,0,14
Stroke,232,4,392,188,32,4,20
Severe_Trauma,114,3,291,126,6,6,51
Stroke,332,2,130,40,6,8,22
Pneumonia,219,3,237,126,21,3,18
Covid,59,4,240,64,20,4,116
Sepsis,265,1,97,12,1,4,26
Sepsis,218,1,20,11,7,1,9
Sepsis,65,3,246,117,21,9,72
Stroke,246,2,50,30,12,8,22
Heart_Failure,54,4,156,192,28,16,100
Stroke,150,2,142,48,14,2,56
Heart_Failure,249,4,236,88,12,8,60
Severe_Trauma,425,1,16,46,5,4,9
Severe_Trauma,271,1,17,5,9,3,20
Stroke,368,2,24,44,4,8,40
Pneumonia,104,3,108,81,9,9,36
Sepsis,309,4,128,144,4,0,116
Sepsis,367,4,196,76,28,16,40
Sepsis,442,4,208,52,32,16,100
Covid,115,3,48,66,9,3,69
Severe_Trauma,222,1,15,9,7,1,27
Covid,160,3,90,93,12,0,54
Sepsis,332,4,224,180,28,0,84
Covid,493,2,186,40,2,6,30
Severe_Trauma,264,4,372,120,24,16,24
